ResponseId,experience_of_unity,spiritual_experience,blissful_state,insightfulness,disembodiment,impaired_control_and_cognition,anxiety,complex_imagery,elementary_imagery,audio_visual_synesthesia,changed_meaning_of_percepts
R_8F9uw42o9nY8Uv6,100.0,75.66666666666667,57.0,65.66666666666667,84.0,31.875,59.4,21.666666666666668,84.33333333333333,6.666666666666667,68.33333333333333
R_7780m5Lksc3sPVN,44.2,64.66666666666667,97.0,55.0,29.666666666666668,46.375,32.0,54.333333333333336,34.333333333333336,39.666666666666664,70.33333333333333
R_2TATA4ahzZRCHGr,82.6,64.33333333333333,73.0,67.33333333333333,57.333333333333336,8.75,16.6,84.33333333333333,67.0,27.666666666666668,73.0
R_4gTPlhPjdHSVkZW,94.6,59.0,100.0,87.0,74.33333333333333,28.75,52.6,85.0,36.333333333333336,96.33333333333333,100.0
R_3nT0xtUA3KHN3DC,36.2,22.666666666666668,38.0,48.333333333333336,37.333333333333336,18.375,17.0,50.666666666666664,18.0,83.33333333333333,15.666666666666666
R_4WZ4Hi5VzsoECoG,70.0,94.33333333333333,85.0,75.33333333333333,90.33333333333333,32.5,57.0,72.0,47.333333333333336,70.66666666666667,53.0
R_3g6ISCahP3G9iD3,39.6,10.0,14.333333333333334,66.66666666666667,0.0,26.375,1.6,40.666666666666664,33.333333333333336,3.0,73.66666666666667
R_7hRUW8QWVPjWaBP,58.0,66.66666666666667,100.0,56.0,2.0,12.0,27.4,58.666666666666664,68.33333333333333,3.6666666666666665,26.333333333333332
R_3irmCSSogJ61rCp,35.0,60.0,53.666666666666664,73.0,27.666666666666668,34.5,44.4,48.0,43.0,83.33333333333333,73.33333333333333
R_54GEo6oVUabMnax,20.2,38.0,13.0,66.0,33.333333333333336,38.25,21.4,97.33333333333333,34.666666666666664,100.0,36.333333333333336
R_7KyVQhuoz3xBsZj,17.0,5.666666666666667,56.0,49.333333333333336,15.0,22.25,34.6,39.333333333333336,16.666666666666668,58.0,69.66666666666667
R_3kwN7ySaA22SJ6V,73.6,58.666666666666664,66.66666666666667,66.33333333333333,66.66666666666667,48.75,20.0,66.66666666666667,49.0,0.0,51.0
R_1SeZht6ngAfNSq5,74.6,79.0,53.666666666666664,72.33333333333333,35.0,17.625,39.2,83.33333333333333,64.66666666666667,100.0,57.333333333333336
R_3nP0j7VurSQ30UR,94.6,96.0,57.666666666666664,85.66666666666667,49.666666666666664,42.875,54.4,91.66666666666667,74.66666666666667,100.0,61.0
R_1jcXe3APZpYeQZ4,100.0,83.0,100.0,73.33333333333333,64.66666666666667,6.875,33.2,87.66666666666667,66.66666666666667,78.33333333333333,69.33333333333333
R_5khumMPXFiXq2mN,0.0,11.333333333333334,0.0,16.666666666666668,11.0,6.5,16.8,15.333333333333334,44.333333333333336,70.0,0.0
R_2F5IyUssVznUTws,31.2,86.66666666666667,65.66666666666667,16.0,9.333333333333334,9.5,22.2,87.0,68.0,77.0,8.0
R_7X1jQMIKoHTbgPv,89.0,76.66666666666667,98.0,76.0,99.33333333333333,8.375,49.0,67.0,66.66666666666667,82.33333333333333,26.333333333333332
R_6kSo9g1dODtQ03c,9.4,8.333333333333334,17.333333333333332,24.666666666666668,8.333333333333334,0.0,20.0,35.0,21.333333333333332,0.0,0.0
R_8iVJ1ho3Z4k8ZAq,43.6,25.666666666666668,62.333333333333336,32.333333333333336,68.0,11.75,34.4,62.666666666666664,43.666666666666664,83.0,18.0
R_5jsnI41DJqrDNQZ,0.0,33.333333333333336,24.666666666666668,33.333333333333336,4.0,0.875,1.4,2.0,66.66666666666667,62.0,0.0
R_2CK01qMaYfcChaX,28.6,16.333333333333332,28.666666666666668,18.0,21.0,12.0,10.8,16.333333333333332,26.666666666666668,10.333333333333334,3.3333333333333335
R_7osZ5aSJ6UotKKt,67.0,74.66666666666667,58.333333333333336,53.333333333333336,49.666666666666664,27.75,34.6,68.66666666666667,65.33333333333333,8.333333333333334,88.0
R_3QFXKZfW1HNB4U1,80.8,89.33333333333333,31.333333333333332,61.666666666666664,33.333333333333336,30.5,54.6,100.0,56.0,32.666666666666664,68.0
R_27vBMfv7MGk4616,94.4,97.66666666666667,81.33333333333333,82.33333333333333,84.66666666666667,69.5,90.0,93.33333333333333,97.66666666666667,83.66666666666667,99.0
